# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
A1,NetDD3_A1,PD17,,,,,,,,,,,
A2,,PB31,,,,,,,,,,,
A3,CPU_ETH_TXD1,PB21,,,,,,,,,,,
A4,CPU_ETH_TXD0,PB20,,,,,,,,,,,
A5,CPU_ETH_RXER,PB17,,,,,,,,,,,
A6,CPU_ETH_RXD1,PB19,,,,,,,,,,,
A7,"+1,8V",DDRM_VDDQ_1,,,,,,,,,,,
A8,GND,DDRM_VSS_1,,,,,,,,,,,
A9,"+1,8V",DDRM_VDDQ_2,,,,,,,,,,,
A10,GND,DDRM_VSSQ_1,,,,,,,,,,,
A11,"+1,8V",DDRM_VDDQ_3,,,,,,,,,,,
A12,"+1,8V",DDRM_VDD_1,,,,,,,,,,,
A13,"+1,8V",DDRM_VDDQ_4,,,,,,,,,,,
A14,GND,DDRM_VSSQ_2,,,,,,,,,,,
B1,,SHDN,,,,,,,,,,,
B2,CPU_ETH_MDIO,PB23,,,,,,,,,,,
B3,,PB29,,,,,,,,,,,
B4,CPU_ETH_RXD0,PB18,,,,,,,,,,,
B5,CPU_ETH_TXEN,PB15,,,,,,,,,,,
B6,"+1,8V",DDRM_VDDQ_5,,,,,,,,,,,
B7,CPU_PCK1,PB13,,,,,,,,,,,
B8,EXT_UART_TXD,PB12,,,,,,,,,,,
B9,EXT_UART_RXD,PB11,,,,,,,,,,,
B10,"+1,8V",DDRM_VDD_2,,,,,,,,,,,
B11,GND,DDRM_VSSQ_3,,,,,,,,,,,
B12,GND,DDRM_VSSQ_4,,,,,,,,,,,
B13,GND,DDRM_VSSQ_5,,,,,,,,,,,
B14,GND,DDRM_VSS_2,,,,,,,,,,,
C1,REF_STATUS0,PD13,,,,,,,,,,,
C2,REF_STATUS1,PD10,,,,,,,,,,,
C3,CPU_UART_TX,PB27,,,,,,,,,,,
C4,CPU_ETH_CRSDV,PB16,,,,,,,,,,,
C5,CPU_GPIO_0,PB03,,,,,,,,,,,
C6,,PB02,,,,,,,,,,,
C7,FPGA_INIT_B,PB08,,,,,,,,,,,
C8,CPU_GPIO_1,PB06,,,,,,,,,,,
C9,FPGA_DONE,PB09,,,,,,,,,,,
C10,GND,GNDDDR_4,,,,,,,,,,,
C11,GND,DDRM_VSS_3,,,,,,,,,,,
C12,"+1,8V",DDRM_VDDQ_6,,,,,,,,,,,
C13,GND,DDRM_VSSQ_6,,,,,,,,,,,
C14,GND,DDRM_VSS_4,,,,,,,,,,,
D1,NetDD3_D1,TST,,,,,,,,,,,
D2,CPU_ETH_INT,PB28,,,,,,,,,,,
D3,CPU_ETH_MDC,PB22,,,,,,,,,,,
D4,CPU_UART_RX,PB26,,,,,,,,,,,
D5,CPU_FIQ,PB04,,,,,,,,,,,
D6,CPU_GPIO_2,PB01,,,,,,,,,,,
D7,REF_RESET,PB05,,,,,,,,,,,
D8,GND,DDRM_VSS_5,,,,,,,,,,,
D9,FPGA_PROGRAM_B,PB07,,,,,,,,,,,
D10,"+1,8V",DDRM_VDD_3,,,,,,,,,,,
D11,"+1,8V",DDRM_VDD_4,,,,,,,,,,,
D12,NetDD3_D12,ODT,,,,,,,,,,,
D13,GND,DDRM_VSSDL,,,,,,,,,,,
D14,"+1,2V",VDDCORE_2,,,,,,,,,,,
E1,,PD23,,,,,,,,,,,
E2,,PB25,,,,,,,,,,,
E3,,PB24,,,,,,,,,,,
E4,"+3,3V",VDDIOP0_1,,,,,,,,,,,
E5,GND,GNDIOP0_1,,,,,,,,,,,
E6,CPU_GPIO_3,PB00,,,,,,,,,,,
E7,"+1,8V",DDRM_VDDL,,,,,,,,,,,
E8,"+1,8V",VDDDDR_1,,,,,,,,,,,
E9,"+1,8V",VDDDDR_2,,,,,,,,,,,
E10,"+1,8V",VDDDDR_3,,,,,,,,,,,
E11,GND,GNDDDR_5,,,,,,,,,,,
E12,GND,GNDCORE_1,,,,,,,,,,,
E13,GND,GNDCORE_2,,,,,,,,,,,
E14,"+1,2V",VDDCORE_3,,,,,,,,,,,
F1,CPU_I2C_SCL,PD22,,,,,,,,,,,
F2,CPU_PCK2,PD11,,,,,,,,,,,
F3,,PB30,,,,,,,,,,,
F4,"+3,3V",VDDIOP0_2,,,,,,,,,,,
F5,GND,GNDIOP0_2,,,,,,,,,,,
F6,,PB10,,,,,,,,,,,
F7,,PA01,,,,,,,,,,,
F8,GND,GNDDDR_6,,,,,,,,,,,
F9,GND,GNDDDR_3,,,,,,,,,,,
F10,"+1,8V",VDDDDR_4,,,,,,,,,,,
F11,GND,GNDDDR_7,,,,,,,,,,,
F12,NetC51_1,DDR_VREF_2,,,,,,,,,,,
F13,SPI_MISO,PC03,,,,,,,,,,,
F14,DBGU_RXD,PC07,,,,,,,,,,,
G1,CPU_I2C_SDA,PD21,,,,,,,,,,,
G2,NetDD3_G2,PD15,,,,,,,,,,,
G3,,PD18,,,,,,,,,,,
G4,,PD09,,,,,,,,,,,
G5,GND,GNDUTMI_CORE,,,,,,,,,,,
G6,CPU_ETH_REFCLK,PB14,,,,,,,,,,,
G7,"+1,2V",VDDCORE_1,,,,,,,,,,,
G8,,PA03,,,,,,,,,,,
G9,CPU_IRQ,PA21,,,,,,,,,,,
G10,QSPI0_CS,PA23,,,,,,,,,,,
G11,GND,GNDCORE_3,,,,,,,,,,,
G12,"+1,8V",VDDDDR_5,,,,,,,,,,,
G13,GND,GNDDDR_8,,,,,,,,,,,
G14,SPI_CS_REF,PC04,,,,,,,,,,,
H1,EXT_I2C_SCL,PD20,,,,,,,,,,,
H2,NetDD3_H2,PD14,,,,,,,,,,,
H3,GND,GNDCORE_4,,,,,,,,,,,
H4,"+1,2V",VDDCORE_4,,,,,,,,,,,
H5,,PD07,,,,,,,,,,,
H6,GND,GNDFLTDPLL,,,,,,,,,,,
H7,GND,GNDCORE_5,,,,,,,,,,,
H8,GND,GNDCORE_6,,,,,,,,,,,
H9,CPU_SPI_CS_3,PA20,,,,,,,,,,,
H10,QSPI0_IO1,PA25,,,,,,,,,,,
H11,SPI_CLK,PC01,,,,,,,,,,,
H12,"+1,8V",VDDDDR_6,,,,,,,,,,,
H13,GND,GNDDDR_9,,,,,,,,,,,
H14,CPU_SPI_MISO,PA16,,,,,,,,,,,
J1,NetDD3_J1,PD16,,,,,,,,,,,
J2,,PD08,,,,,,,,,,,
J3,GND,GNDCORE_7,,,,,,,,,,,
J4,,PIOBU4,,,,,,,,,,,
J5,RESET,NRST,,,,,,,,,,,
J6,GND,GNDDPLL,,,,,,,,,,,
J7,"+3,3V",VDDSDHC,,,,,,,,,,,
J8,GND,GNDSDHC,,,,,,,,,,,
J9,QSPI1_IO2,PA09,,,,,,,,,,,
